func_name,elapsed_time,device_str,num_neurons,connection_prob,timestep,min_delay,max_delay,mean_spikes_per_neuron,mean_spikes_per_bin
clock_driven_dense,64.32367300987244,cpu,10000,0.05,0.001,0.002,0.004,44.000099182128906,4400.009765625
clock_driven_dense,162.50827813148499,cpu,10000,0.1,0.001,0.002,0.004,45.0,4500.0
clock_driven_dense,0.626781702041626,gpu,10,0.01,0.001,0.002,0.004,0.0,0.0
clock_driven_dense,0.36878275871276855,gpu,10,0.05,0.001,0.002,0.004,0.0,0.0
clock_driven_dense,0.41100025177001953,gpu,10,0.1,0.001,0.002,0.004,0.800000011920929,0.07999999821186066
clock_driven_dense,0.406200647354126,gpu,10,0.2,0.001,0.002,0.004,4.200000286102295,0.41999998688697815
clock_driven_dense,0.36812591552734375,gpu,10,0.3,0.001,0.002,0.004,7.599999904632568,0.7599999904632568
clock_driven_dense,0.36872005462646484,gpu,10,0.4,0.001,0.002,0.004,12.300000190734863,1.2300000190734863
clock_driven_dense,0.37000322341918945,gpu,10,0.5,0.001,0.002,0.004,13.800000190734863,1.3799999952316284
clock_driven_dense,0.3704102039337158,gpu,10,0.75,0.001,0.002,0.004,18.30000114440918,1.8299999237060547
clock_driven_dense,0.37173962593078613,gpu,10,1,0.001,0.002,0.004,24.200000762939453,2.419999837875366
clock_driven_dense,0.37228918075561523,gpu,100,0.01,0.001,0.002,0.004,0.7099999785423279,0.7099999785423279
clock_driven_dense,0.36725401878356934,gpu,100,0.05,0.001,0.002,0.004,14.649999618530273,14.649999618530273
clock_driven_dense,0.36952853202819824,gpu,100,0.1,0.001,0.002,0.004,24.43000030517578,24.43000030517578
clock_driven_dense,0.3704085350036621,gpu,100,0.2,0.001,0.002,0.004,27.170000076293945,27.170000076293945
clock_driven_dense,0.36889100074768066,gpu,100,0.3,0.001,0.002,0.004,30.689998626708984,30.689998626708984
clock_driven_dense,0.37062501907348633,gpu,100,0.4,0.001,0.002,0.004,35.55999755859375,35.55999755859375
clock_driven_dense,0.3698282241821289,gpu,100,0.5,0.001,0.002,0.004,38.209999084472656,38.209999084472656
clock_driven_dense,0.36897993087768555,gpu,100,0.75,0.001,0.002,0.004,40.5099983215332,40.5099983215332
clock_driven_dense,0.3682684898376465,gpu,100,1,0.001,0.002,0.004,41.349998474121094,41.349998474121094
